Designator,Mid X,Mid Y,Layer,Rotation
C1,57.02,-62.22,T,180.00
C2,62.63,-63.76,T,180.00
C3,63.88,-60.57,T,0.00
C4,72.30,-59.08,T,180.00
C5,68.39,-66.03,T,0.00
C6,11.22,-39.17,T,0.00
C7,14.41,-41.08,T,180.00
C8,24.48,-36.81,T,180.00
C9,11.78,-26.33,T,270.00
C10,19.64,-26.57,T,270.00
C11,27.00,-25.77,T,270.00
C12,77.67,-26.50,T,0.00
C13,77.36,-19.25,T,0.00
C14,61.30,-9.05,T,90.00
C15,64.39,-12.51,T,180.00
C16,69.70,-11.00,T,90.00
C17,76.80,-12.33,T,180.00
C18,82.20,-11.38,T,90.00
C19,73.82,-8.92,T,90.00
C20,76.73,-5.55,T,0.00
C21,23.92,-17.24,T,270.00
C22,49.34,-33.99,T,0.00
C23,56.47,-10.83,T,0.00
C24,53.01,-13.46,T,90.00
C25,54.04,-19.20,T,0.00
D1,14.31,-39.18,T,180.00
D2,11.11,-41.04,T,180.00
D3,41.02,-40.74,T,90.00
D4,70.06,-50.21,T,90.00
D5,74.14,-53.29,T,180.00
D6,76.06,-59.58,T,0.00
D7,46.49,-28.70,T,270.00
D8,41.43,-33.13,T,180.00
D9,11.74,-23.08,T,90.00
D10,21.42,-61.77,T,270.00
D11,24.94,-61.13,T,270.00
D12,69.11,-43.58,T,180.00
D13,72.94,-37.86,T,180.00
D14,78.03,-42.88,T,0.00
D15,76.99,-55.44,T,0.00
D16,67.57,-10.51,T,90.00
D17,80.06,-11.12,T,90.00
D18,58.15,-5.19,T,270.00
D19,20.71,-17.07,T,90.00
D20,54.68,-17.07,T,0.00
D21,28.46,-61.09,T,270.00
D22,32.01,-61.05,T,270.00
F1,77.72,-51.94,T,270.00
F2,77.33,-40.73,T,0.00
FB1,74.40,-19.23,T,0.00
FB2,55.50,-7.50,T,0.00
FB3,72.17,-11.97,T,180.00
FB4,82.76,-8.88,T,0.00
FB5,68.38,-67.62,T,0.00
FB6,22.18,-15.52,T,90.00
FB7,53.10,-21.70,T,90.00
J1,5.04,-55.28,T,180.00
J2,54.20,-3.93,T,180.00
J3,85.07,-59.95,T,90.00
J4,19.68,-71.10,T,0.00
J6,85.07,-32.95,T,90.00
J7,85.02,-43.70,T,90.00
J8,20.96,-10.81,T,180.00
L1,64.70,-15.02,T,0.00
L2,77.06,-14.36,T,0.00
L3,50.98,-13.75,T,270.00
Q1,76.19,-66.72,T,180.00
Q2,67.41,-50.20,T,0.00
Q3,34.98,-41.40,T,0.00
Q4,38.44,-41.52,T,0.00
Q5,59.84,-63.02,T,90.00
Q6,74.44,-50.41,T,0.00
Q7,42.17,-30.57,T,0.00
Q8,45.63,-32.33,T,270.00
Q9,68.95,-39.72,T,0.00
Q10,72.71,-40.72,T,0.00
R1,56.99,-60.69,T,0.00
R2,60.76,-60.59,T,0.00
R3,62.65,-62.25,T,0.00
R4,71.75,-66.03,T,0.00
R5,75.44,-64.46,T,180.00
R6,71.78,-67.53,T,180.00
R7,75.42,-62.98,T,180.00
R8,71.83,-69.09,T,180.00
R9,75.30,-69.14,T,180.00
R10,57.02,-63.69,T,180.00
R11,14.41,-42.57,T,180.00
R12,21.52,-36.82,T,0.00
R13,18.49,-36.82,T,0.00
R14,16.88,-39.03,T,270.00
R15,30.71,-42.62,T,180.00
R16,27.70,-42.63,T,180.00
R17,30.71,-40.06,T,180.00
R18,27.71,-40.06,T,180.00
R19,30.71,-38.60,T,180.00
R20,35.67,-39.20,T,0.00
R21,38.66,-39.26,T,0.00
R22,64.13,-49.70,T,180.00
R23,71.79,-50.32,T,90.00
R24,77.05,-61.52,T,0.00
R25,38.99,-30.02,T,180.00
R26,44.70,-28.46,T,270.00
R27,15.70,-22.18,T,0.00
R28,13.29,-23.03,T,90.00
R29,17.98,-23.01,T,270.00
R30,20.64,-23.45,T,90.00
R31,23.00,-22.61,T,180.00
R32,25.30,-23.43,T,270.00
R33,28.16,-22.82,T,90.00
R34,30.63,-21.86,T,180.00
R35,32.94,-22.77,T,270.00
R36,68.61,-37.56,T,0.00
R37,69.28,-41.85,T,180.00
R38,74.81,-43.25,T,180.00
R39,73.85,-55.41,T,180.00
R40,66.86,-7.51,T,180.00
R41,63.85,-7.53,T,180.00
R42,76.37,-7.42,T,0.00
R43,79.35,-7.42,T,0.00
R44,58.08,-2.17,T,90.00
R45,57.90,-16.35,T,90.00
R46,57.88,-13.33,T,90.00
R47,36.49,-15.04,T,270.00
R48,19.67,-63.48,T,90.00
R49,19.68,-60.34,T,90.00
R50,23.32,-60.19,T,90.00
R51,23.38,-63.38,T,90.00
R52,26.77,-60.23,T,90.00
R53,30.41,-60.31,T,90.00
R54,26.81,-63.37,T,90.00
R55,30.41,-63.38,T,90.00
U1,15.72,-28.37,T,90.00
U2,70.09,-62.55,T,0.00
U3,21.98,-40.62,T,0.00
U4,23.07,-28.64,T,90.00
U5,30.60,-28.07,T,90.00
U6,74.25,-29.98,T,0.00
U7,74.12,-22.94,T,0.00
U8,64.33,-10.00,T,180.00
U9,76.86,-9.87,T,180.00
U10,55.45,-13.86,T,90.00
